Número de Empregos por Classe de Atividde e por Zona de Emprego - 2012;;;;;;;;;;;;;;;
Zona;Agrícola;Construção civil;Indústria;Comércio;Transporte de carga;Transporte de passageiros;Creditícios - Financeiros;Creditícios - Pessoais;Alimentação;Saúde;Educação;Especializados;Administração pública;Outros;Total
1;0;20534.9137869;77969.6780615;197580.5855892;7832.09115;15582.640624;47264.1404387;8001.9771262;46491.6135704;89779.2315724;47085.3166059;142829.8433884;59345.1675305;301042.4346726;1061339.6341167
2;0;10023.6914887;24758.8534441;25166.0353827;8534.7235791;7201.3816412;1855.0432198;6324.8473682;11421.4037793;9022.0310888;16889.2580908;12813.6277892;2375.6745951;57175.692276;193562.263743
3;555.2041381;14189.165383;29770.0436281;46027.1068656;5025.6100589;6185.832047;2842.6528392;7360.5148604;14998.2014042;8598.6866574;10689.650773;21536.9853042;3395.3312645;52524.2368372;223699.2220608
4;0;22426.2185501;46747.7836565;58204.4364764;13320.835786;18589.7704027;8473.2727028;10761.5508235;15823.0903639;27671.0627927;30151.5806473;43075.5069074;16507.8416018;124396.9511841;436149.9018952
5;0;4804.0779542;40793.6233414;40808.4041936;3733.1873824;1996.3449896;1445.2842531;3684.7537488;9318.3881844;15779.9848025;6665.5787113;19897.2743281;2465.4691063;40645.2428326;192037.6138283
6;0;8013.8513068;21292.3620811;34437.6582538;4941.4299709;3093.2365752;1164.577842;5860.9003248;4569.2633563;3279.4842744;11609.750703;6090.7314232;0;40486.3895352;144839.6356467
7;0;5644.2693278;32500.3581513;54445.4141626001;1002.9404563;5733.9181593;6032.7794702;7271.2993413;10326.734469;6408.4334716;13946.8817918;15458.3947624;2252.6243384;70642.6739796001;231666.7218816
8;0;6004.7975709;6577.1972689;27721.0639845;1306.1172693;4966.7359459;1281.7210217;2863.724629;2176.8621155;2139.2679578;8716.8526439;2410.3445532;454.7076919;23374.950861;89994.3435135
9;0;15107.413487;19960.3709531;30394.1112291;2749.3634669;3813.0807528;0;4990.3728351;10444.6091381;6961.9448048;15998.0804634;11084.5287942;5794.6107468;39286.4632252;166584.9498965
10;0;7758.050205;18713.876123;52807.92362;1858.2473304;11053.2790185;0;10288.8176659;4836.1812524;8257.9245787;18052.8508577;7204.4650403;3159.7568636;51570.0089676;195561.3815231
11;0;11946.1188594;17160.6575277;24372.5233072;410.3933967;6472.4727258;3014.0724164;3230.7283824;2894.7779361;13540.6208835;6979.5962439;4361.5028596;1647.8830241;24908.4504506;120939.7980134
12;0;11368.4001603;14223.1448855;27691.4952359;3083.8512756;3380.4802654;2440.3561477;2076.9460099;4949.6997868;1293.502138;8593.0937438;5593.8308452;1943.02173;28373.9873422;115011.8095663
13;0;7419.4848024;5450.4277637;20513.6670408;2532.7459488;7901.186189;674.4986184;4046.9917104;7855.3944602;3741.0809906;11628.4528772;2938.3112229;1084.8920151;22474.375956;98261.5095955
14;454.7076919;15586.8091134;18666.2517619;51403.0417102;748.903912;4092.8060987;14599.3038123;7098.4815429;19705.2511454;29192.1482128;9955.5523283;66874.1806025;10691.897206;143653.5500839;392722.8852222
15;0;19600.8742041;36437.4308977;60230.0661164;7126.2221364;9254.772886;19414.2897642;6117.9991798;32209.8829315;39546.7019978;9912.3445192;89525.4404955;9061.8202085;164269.6182384;502707.4635755
16;0;10611.5537668;13271.4474297;35804.0377341;1577.341892;2549.3016669;3409.9154287;2429.3806457;11163.9063414;32770.1942471;11878.3785005;49992.9944528;3630.1026701;99367.5249589;278456.0797347
17;0;6764.9652253;37065.2133647;38693.5375757;3106.5278298;2399.8828648;1296.7834486;5033.9230449;4547.474703;10894.8297682;9992.1716024;9809.8188259;7418.9142535;57329.1205067;194353.1630135
18;0;20233.5003736;55172.7414688;87960.6362609;6294.4183827;14261.1459213;22505.6561784;8396.227678;15938.9874783;21148.123379;22737.54206;51535.8393622;9504.255423;143116.8012286;478805.8751948
19;0;11582.4470275;14525.2844661;45448.8599351;3441.1246626;9530.2104644;2665.5948782;7962.0182009;4659.4569265;10028.3004614;17057.5669716;22638.9306331;3086.8186164;61405.5811091;214032.1943529
20;0;28298.0066326;18714.2226879;48052.4661992;410.3933967;14951.731952;5329.7043825;8370.009809;6247.2085073;9606.8399606;16575.6941634;11786.1457934;2218.2328188;43710.7912993;214271.4476027
21;0;26007.8508221;6848.8849604;41490.3094843;1090.5191989;5445.3690712;1328.3060681;11846.8695529;8694.577384;15081.699159;21286.3760533;19463.0192357;2316.6564514;62662.4542054;223562.8916467
22;0;11523.8296236;26002.7881994;32601.5961627;5757.1492455;3397.3010236;2438.216666;4443.0923671;8952.3233743;4495.4836207;26798.6019418;12975.9206284;1721.9367094;50583.5007151999;191691.7402777
23;0;16218.4347987;44629.3722994;74356.5288008;7077.2633329;9373.6168341;10223.604202;4858.5285174;12322.9461129;13849.2360446;21580.9477673;58866.4008857;9134.7266591;130137.9920216;412629.5982765
24;4055.6807801;18684.0737722;24107.9725154;24892.0375435;5842.6790633;3150.6345475;2727.3820245;3780.761457;2520.507638;9451.9036425;11997.2772628;5671.1421855;8595.632762;23982.3801094;149460.0653037
