Viagens Diárias Atraídas por Motivo e por Zona de Destino - 2012;;;;;;;;;;
Zona;Trabalho na indústria;Trabalho no comércio;Trabalho em serviços;Educação;Compras;Saúde;Lazer;Procurar emprego;Assuntos pessoais;Total
1;137982;340066;1123121;452249;130321;89492;94718;10829;411697;2790473
2;61412;59792;345171;452034;30743;21249;32708;747;103955;1107812
3;91285;111301;335904;469488;37836;39723;34199;3508;93130;1216374
4;84153;118569;659707;552389;111288;83233;109362;5915;196415;1921032
5;69007;72988;220705;163257;27456;42354;26785;0;65774;688325
6;85092;85400;219593;300169;37906;37411;52262;1808;109917;929557
7;58804;92178;278092;314006;39085;44884;45389;5375;110598;988411
8;31464;56603;161573;237550;53652;31824;25188;1750;78351;677955
9;43336;56700;263886;321858;34929;43168;44505;2541;81018;891941
10;53555;129838;263951;602528;26750;44905;39920;2200;142964;1306612
11;60604;48294;190040;323027;40884;30640;34941;1366;86836;816633
12;52826;75290;168573;304664;33922;22333;30749;1692;74798;764848
13;46699;44597;194595;317295;20283;36035;25060;3154;46402;734119
14;48089;63022;461902;99729;25500;56232;46186;1842;110455;912956
15;83925;80923;574927;167458;35637;56453;56838;5783;129263;1191206
16;33297;51156;399296;189349;42732;40182;40959;1526;98433;896930
17;90626;72253;287837;364262;48080;38587;46484;2191;127559;1077878
18;110609;146404;702069;612497;83174;54717;71456;9180;197434;1987538
19;58194;103370;381495;536985;45276;45176;22765;2178;123092;1318531
20;96516;79928;379829;607219;56923;36232;42345;3234;97508;1399733
21;47780;89826;333232;353445;31924;17428;34818;896;85883;995233
22;50164;58314;271364;244648;22370;21896;20323;1944;35768;726791
23;71747;108427;446760;287182;72373;33923;60671;1623;130760;1213466
24;93926;63710;230229;308254;23754;40231;24961;3693;56991;845749
25;341964;117854;805780;915203;77891;53933;75101;2880;155305;2545912
26;268804;177086;646257;920554;125391;97131;155881;2810;195224;2589138
27;287366;239333;816765;922261;331064;201985;201211;0;407580;3407565
28;380384;225146;601284;758690;135865;125519;98669;758;331750;2658066
29;106109;115364;396175;506520;29391;24812;27757;344;92039;1298512
30;63194;33560;146047;190337;7096;5458;10346;0;20907;476944
31;327065;327024;967855;1194721;119935;82339;52213;5471;262603;3339225
Total;3435980;3444314;13274015;13989828;1939430;1599486;1684768;87237;4260408;43715466
