Número de Empregos por Vínculo Empregatício e por Zona de Emprego - 2012;;;;;;;;;
Zona;Assalariado com carteira;Assalariado sem carteira;Funcionário público;Autônomo;Empregador;Profissional liberal;Dono de negócio familiar;Trabalhador familiar;Total
1;721728.775406501;82110.7936285;64474.3309718;125928.2878839;23067.8422688;22255.2327669;15498.0294389;6276.3417514;1061339.6341167
2;100343.502992;20421.6545194;14031.2979061;44786.0705882;927.5216099;2849.4784185;6492.6512693;3710.0864396;193562.263743
3;99893.4915664999;14976.8533471;10745.6720211;74743.5688095999;5617.3565947;3001.250001;12720.1963868;2000.833334;223699.2220608
4;245241.1893431;37955.8819056;22250.1387192;110458.276063;6222.7633653;2367.497424;10653.738408;1000.416667;436149.9018952
5;130737.5103437;14376.1399989;4095.7800973;31973.2695824;5356.1550446;3460.7475379;1746.866763;291.1444605;192037.6138283
6;61941.859337;18680.1168711;6344.7307342;47672.3079477;2248.1561448;2128.9072086;5823.5574033;0;144839.6356467
7;134476.9930879;21764.4858572;5635.7703622;52033.0904535;4326.9825662;2479.1135896;9920.2607258;1030.0252392;231666.7218816
8;36595.9357166;10782.5590905;5833.7683918;32342.2112867;900.462689;902.4440101;2636.9623288;0;89994.3435135
9;72078.4279107;13366.0256572;12921.2098536;52024.7236465;2366.2819265;3731.1866077;8732.9712186;1364.1230757;166584.9498965
10;78260.6178524;23049.3830445;11772.9719147;65989.4246887001;2670.020778;1092.678886;12290.9119357;435.3724231;195561.3815231
11;63545.9373918001;7469.9393856;4733.5660472;38970.1407063001;2113.3487325;435.3724231;3223.7570087;447.7363182;120939.7980134
12;42316.5654184;12685.1621266;7353.4647464;40497.7690924;0;447.7363182;10890.3250709;820.7867934;115011.8095663
13;33888.865694;12961.7619246;6540.6405543;39951.4303966;0;0;4244.3124076;674.4986184;98261.5095955001
14;260325.484916301;35649.3383666;15062.0260296;57233.1598353;7289.4230259;11203.8109351;5959.6421134;0;392722.885222201
15;347212.763018099;36934.3895409;9410.1984473;69985.8599511;8387.9938232;22995.1782043;7456.7353049;324.3452857;502707.463575499
16;190067.8299663;19216.4165365;4659.9702203;46642.5918424;7517.2775468;4181.570961;6170.4226614;0;278456.0797347
17;104223.065272;14571.2000463;8896.9508354;48895.0383874;4174.025208;3496.0109073;8800.0889085;1296.7834486;194353.1630135
18;282186.3687355;38140.433854;16931.5076481;117383.8075405;6945.2373816;7433.2927706;9785.2272645;0;478805.8751948
19;102145.6898438;15660.5167674;7803.7004642;80483.4257234999;465.0902659;2165.9226373;4375.9572655;931.8913853;214032.1943529
20;66105.8482627;19895.9024488;21251.9686733;82405.2426318001;698.1718461;0;20327.166679;3587.147061;214271.4476027
21;118172.6871173;22746.9164754;9958.2339772;64689.0683726;698.1718461;3355.8401133;3941.9737448;0;223562.8916467
22;108042.3773874;21424.9144834;14054.9909883;41633.7386050999;588.3924402;2711.1679522;2941.962201;294.1962201;191691.7402777
23;284245.2902903;30083.386466;9655.5167145;69111.7272079;3196.0200949;8853.9615462;6928.4918186;555.2041381;412629.5982765
24;73286.9416042001;16797.04842;18047.5364045;35027.26978;0;1260.253819;5041.015276;0;149460.0653037
25;339916.7345784;50405.4141656;31617.4749821;153581.3168693;8917.9444545;2184.165379;11622.3691449;1437.799999;599683.2195728
26;224417.046505301;45585.8083197;36869.5043885;144994.1672724;1559.5750804;3216.2596613;7211.861334;0;463854.222561601
27;295368.247151201;44833.1608382;59880.2991452;152018.9309837;4384.2707877;9340.896466;12179.776506;0;578005.581878001
28;361474.6096785;47076.8887917;15125.9461999;110332.9743476;4732.025676;6091.9750859;16240.8124445;0;561075.2322241
29;116711.5380278;17221.2145723;28812.6181151;81881.4142165998;3957.8355511;1396.3436922;5585.3747688;698.1718461;256264.51079
30;65878.0877878999;6537.6684884;7990.5819127;30239.0961635;1400.9289618;222.1764701;2659.2268887;0;114927.7666731
31;396317.142928401;33774.6300459;51319.7451596;198072.8052508;4821.1982741;11647.5929874;18875.296035;2391.4513351;717219.862016302
Total;5557147.425132;807156.0059839;544082.1126257;2341982.206127;125550.4739846;146908.0647798;260977.9407249;29568.3558395;9813372.5851974
