Viagens Diárias Produzidas por Tipo e por Zona de Origem - 2012;;;;;
Zona;Coletivo;Individual;Modo motorizado;Modo não motorizado;Total
1;1259154;669530;1928684;856524;2785208
2;411845;327653;739498;368106;1107604
3;446473;385758;832231;390252;1222483
4;797433;673741;1471174;456721;1927895
5;245940;305030;550970;128180;679150
6;277267;287376;564643;368899;933542
7;345689;389680;735369;252988;988357
8;217869;242571;460440;211607;672047
9;337886;314061;651947;241182;893129
10;498434;315319;813753;482060;1295813
11;317391;207266;524657;300332;824989
12;256251;170795;427046;334857;761903
13;284063;118128;402191;340828;743019
14;412706;302499;715205;192705;907910
15;408936;548293;957229;238342;1195571
16;376451;283806;660257;230874;891131
17;344277;353130;697407;381476;1078883
18;881927;613761;1495688;494333;1990021
19;526024;220796;746820;575447;1322267
20;510376;305156;815532;591874;1407406
21;373935;292995;666930;321701;988631
22;293776;249952;543728;180019;723747
23;525505;486019;1011524;201218;1212742
24;308091;231945;540036;302709;842745
25;865470;736308;1601778;945007;2546785
26;737247;707028;1444275;1139881;2584156
27;1084578;1361502;2446080;968131;3414211
28;869872;1002467;1872339;782017;2654356
29;438065;345637;783702;513831;1297533
30;152080;146065;298145;179713;477858
31;1338963;1001249;2340212;1004162;3344374
Total;16143974;13595516;29739490;13975976;43715466
