Tempo Médio das Viagens Produzidas por Modo por Zona de Origem - 2012;;;;
Zona;Coletivo ;Individual;A Pé;Bicicleta
1;78.7337547691502;41.6963078606224;13.552383269684;24.3579085913689
2;64.9258671373389;35.4377940926122;14.2311791494974;15
3;60.6818158933692;29.7865709293121;13.9153475080666;18.3333333333333
4;64.7788327837008;30.1435839067962;14.7219757954664;22.3720061855164
5;71.8709500688437;27.5864102104253;12.4302295071053;37.2648459329379
6;60.2820708177928;28.7335726249417;14.9184391884752;34.7071655682881
7;67.5294635921951;29.9181402132754;14.4322043981376;17.5
8;59.8937647909581;26.6730394860502;13.9759224170308;20
9;57.7878008411489;29.0043234468957;15.1194805854116;50
10;60.645277963956;28.4842958900655;13.5845367274007;21.7081144054651
11;65.4282304760109;25.0711537327509;13.7790192680734;41.3651818393018
12;65.6699605411781;31.7495008419914;14.8035941013249;28.0974877363588
13;77.5019350871564;33.6427894213869;14.9493986394406;
14;86.6560496065654;38.5776477897721;12.2414045129341;30.8805045928403
15;87.4094007638872;39.028415234352;11.5806688303582;34.2398875651948
16;76.0829190200921;34.4884455155208;12.3644376702315;42.9502329756256
17;64.000353744473;27.943689826724;17.6383486787573;20.2371983245871
18;64.4294459587744;31.4268829347376;15.454913284754;15.9069302703008
19;70.0154832536358;34.8637857874536;14.9029159899639;11.7619047619048
20;69.0975215570149;32.7704170038699;12.2784256336867;35
21;63.7869657954436;37.7724539020668;16.7571826828851;34.2936962328002
22;67.3086314432313;32.0912617917719;15.8717877875565;29.10263229633
23;73.3532422141508;36.4493960732601;14.6338883828096;32.1068146765093
24;67.9914447819218;23.5222792607003;17.2068126520681;
25;64.2311714166847;31.7901463564533;15.9112520751414;19.728567632029
26;65.0440677527421;25.8934227385783;14.212320977419;33.48
27;57.2200277894694;25.2402375682607;15.0940298757753;31.7379852302609
28;58.3781244824433;27.1240002641367;16.8858947540145;
29;65.5713954242634;32.7842944283561;14.2551840289812;20.4166666666667
30;67.1615749230907;34.1971719411829;17.1634230118562;8.75
31;62.6641737248753;34.0499063500756;16.8333284485229;46.8181818181818
Total;66.7880008435477;31.2214501594799;14.8870542003694;27.0353978820394
