População por Grau de Instrução e por Zona de Residência - 2012;;;;;;
Zona;Não alfabetizado / primário incompleto;Primário completo / ginásio incompleto;Ginásio completo / colegial incompleto;Colegial completo / superior incompleto;Superior completo;Total
1;47483.6138592001;69504.9999968001;77763.0197984002;158966.8811808;132816.4851424;486534.999977592
2;122432.8525068;123360.3741167;89969.5961603;217040.056716599;69564.1207425001;622367.000242904
3;152063.333384;177073.750059;123051.250041;201083.750067001;67027.9166889999;720300.000240005
4;157438.578696;171643.56324;164541.070968;243852.234672;181113.552936;918589.000511984
5;25329.5680635;35228.4797205;23873.845761;68127.803757;55026.3030345;207586.000336504
6;109036.5892758;129915.9361584;92797.0972559998;156208.4470476;44851.9303404;532810.000078199
7;42087.2139108;73876.4925029998;54623.8308203999;115515.9700956;73876.4925029998;359979.999832805
8;60516.7668109001;63564.3737726002;55292.2977337001;124516.513006599;33959.0490018;337849.000325597
9;85030.3383853;91850.9537637999;85030.3383853;155055.322937899;55929.0461037001;472895.99957601
10;177013.979532;171550.585102;140955.576294;208701.667226;46985.192098;745207.000251993
11;90498.2745103002;78283.7834721002;72731.7420911002;135469.8096964;25539.3903526;402523.000122494
12;96442.4482245002;121476.4454232;75512.3849928;125169.985993501;16415.735868;435017.000501992
13;115339.2637464;103198.2886152;109943.2747992;142319.2084824;17536.9640784;488336.999721603
14;11330.9999751;13552.7646761;8442.7058638;31104.7058139999;90425.8233307006;154856.999659702
15;21731.1341419;19136.3718563;19136.3718563;53192.6268548001;131035.495422799;244232.000132097
16;25114.8743586;30230.8672835;24649.7840927;65112.6372259999;117667.8372727;262776.000233503
17;100500.7172665;82345.7489861002;80400.5738132002;141997.7876217;64839.1724300002;470084.000117495
18;136502.499936;196480.871119999;142707.159023999;226470.056711999;116854.412824;819014.999615995
19;190105.8426012;163080.9924275;130464.793942;219926.3669308;42867.0037238;746444.9996253
20;218815.970720999;197293.088355;155443.03931;236751.706025999;45437.196106;853741.000517992
21;94239.3913235997;115692.2608932;91940.8695839998;136378.956549599;72786.5217539999;511038.000104394
22;51778.5347375999;54132.1044983999;59427.6364601998;109440.9938772;52072.7309576999;326852.000531102
23;22171.0878668;33256.6318002;35759.81914;76168.4147682001;109425.0465684;276781.0001436
24;118463.858986;127915.7626285;110272.2091625;158791.981194;20794.1880135;536237.999984493
25;294748.999795;314878.199781;284684.399802;409772.999714999;76203.399947;1380287.99904002
26;310110.037362;355785.159144;212749.909353001;391844.465813999;81734.4284519999;1352224.00012503
27;263895.157630001;269985.045883001;229385.790863001;464861.469979002;188786.535843;1416914.00019798
28;249220.018936;206631.787852;227137.232448;353324.583807999;130919.377036;1167233.00008002
29;175939.305217201;157088.6653725;150106.9469115;224811.334444201;55853.7476879999;763799.999633411
30;48098.5610217999;51834.3715865999;69112.4954487999;65376.6848839999;21947.8870682;256370.000009399
31;390089.451390001;364922.390010001;360727.879780001;494952.207140002;132127.072245;1742819.00056501
Total;4003569.26417182;4164771.11009721;3558634.94195623;5912307.63023801;2372420.05557311;20011703.0020306
