População por Renda Familiar Mensal e por Zona de Residência – 2012;;;;;;
Zona;até 1.244;1.244  a 2.488;2.488 a 4.976;4.976 a 9.330;mais de 9.330;Total
1;47483.6138592001;141074.504944;163095.8910816;97031.7326688002;37849.2574240001;486534.999977592
2;108520.0283583;188286.886809699;226315.272815599;66781.5559128001;32463.2563465;622367.000242904
3;123051.250041;259107.916753001;234097.500078001;88036.6666959999;16006.666672;720300.000240005
4;108904.881504;223728.506568;348022.121327998;202421.029752;35512.46136;918589.000511984
5;18050.956551;34063.9018785;66963.2259149999;56773.1697975;31734.7461945;207586.000336504
6;133009.1727336;166261.465917;156208.4470476;49491.7852032;27839.1291768;532810.000078199
7;28207.3880466;89099.5273217997;145962.0397332;74324.2288211998;22386.81591;359979.999832805
8;50067.8286565001;97958.7951974997;123645.768160399;58339.9046954001;7836.7036158;337849.000325597
9;64113.7845579002;117769.2922021;180518.953684299;90486.8306880999;20007.1384436;472895.99957601
10;191218.80505;309228.124738001;206516.309454;32780.36658;5463.39443;745207.000251993
11;63293.2717434001;149905.117287;139356.2386631;45526.7393242001;4441.6331048;402523.000122494
12;101777.5623816;183445.848324901;116141.3312661;29548.3245624;4103.933967;435017.000501992
13;110617.7734176;190883.109007199;155134.682232;31701.4350648;0;488336.999721603
14;4665.7058721;10886.6470349;43324.4116694999;47545.7646013999;48434.4704817999;154856.999659702
15;4216.4887141;14595.5378565;48003.1022836001;82708.0478534998;94708.8234243996;244232.000132097
16;15347.9787747;33021.4088789;89762.4213186998;82786.0673301998;41858.1239309999;262776.000233503
17;79103.7903646002;154317.2303834;148481.7048647;79752.1820889002;8429.0924159;470084.000117495
18;112717.973432;273004.999871999;287482.537743998;115820.302976;29989.185592;819014.999615995
19;123009.6628596;301000.917451901;261861.479269299;40071.3295679;20501.6104766;746444.9996253
20;203271.66679;322843.23549;269036.029574999;55002.9216020001;3587.147061;853741.000517992
21;79682.0869727999;198439.0435188;145573.043508;60527.7391428;26816.086962;511038.000104394
22;40599.0783737999;92083.4168912997;113853.9371787;63252.1873214998;17063.3807658;326852.000531102
23;16091.918613;49348.5504132;80817.1912564001;84393.1731704001;46130.1666906;276781.0001436
24;107751.7015245;190298.326668999;202270.737949499;29615.9647465;6301.269095;536237.999984493
25;228610.199841;562179.799608998;422713.199705999;162471.399887;4313.399997;1380287.99904002
26;365400.974256;467569.009820998;403864.234703999;90148.2666749999;25241.514669;1352224.00012503
27;225325.865361001;529820.278011002;403962.587449002;213146.088855;44659.180522;1416914.00019798
28;184549.001364;444810.413543999;399067.498675999;121455.325684;17350.760812;1167233.00008002
29;138936.1973739;275777.879209502;255530.895672602;85176.9652241998;8378.0621532;763799.999633411
30;30353.460839;112541.293264601;86390.6193110002;16344.171221;10740.4553738;256370.000009399
31;392186.706505001;687899.677719998;453007.104840001;157294.133625;52431.377875;1742819.00056501
Total;3500136.7747318;6871250.66258796;6376980.51843513;2510755.80133872;752579.244943096;20011703.0020306
