Número de Famílias por Número de Automóveis Particulares e por Zona de Residência – 2012;;;;;;
Zona;Nenhum Automóvel;1 Automóvel;2 Automóveis;3 Automóveis ou mais;Não declarado;Total de famílias
1;110563.552062001;78156.9936990001;11437.608834;635.422713;1270.84542600086;202064.422734002
2;100344.296988;64108.856409;21369.618803;4645.569305;929.113860999583;191397.455366
3;108531.618852;84087.5605519999;23466.295968;2933.286996;0.00000000122236087918282;219018.762368001
4;126792.459726;115670.314136;32254.222211;8897.716472;6673.28735399793;290287.999898998
5;21718.011502;33539.207636;15669.957666;1374.55769;0;72301.7344940001
6;95761.2972800001;72569.1080949999;14962.7027;1496.27027;748.135134999495;185537.513479999
7;39977.648165;55353.6666899999;19769.166675;5711.092595;878.629630000607;121690.203755001
8;47823.1817700001;48278.6406440001;14119.225094;1366.376622;455.458874000382;112042.883004001
9;60283.0692309999;67185.7107459999;13805.28303;5061.937111;5061.9371110003;151397.937229
10;124589.260278;81081.899546;11865.643836;1977.607306;988.803653000883;220503.214619001
11;58369.30554;46695.444432;10562.064812;555.898148;9450.26851599924;125632.981447999
12;64302.3052279997;56460.5606879998;8625.918994;1176.261681;1960.43613499962;132525.482725999
13;73943.0725080001;54948.5217720001;4748.637684;1356.753624;9497.27536800021;144494.260956
14;16144.213626;34470.0777419999;13526.233038;3272.475735;0.000000000465661287307739;67413.0001410004
15;17722.986569;44809.0603819999;25748.489921;11369.463082;0.00000000055297277867794;99649.9999540005
16;32060.973888;48982.0434399999;18256.943464;2671.747824;445.291303999868;102416.99992
17;71671.5673259999;60983.7020229999;18860.93877;3772.187754;2514.79183600037;157803.187709
18;138858.825312;89679.658014;27000.327144;3857.189592;-0.000000000523868948221207;259396.000061999
19;114974.27392;89823.6514999998;16168.25727;898.236515;0;221864.419205
20;152466.809918;97764.9773520002;11638.68778;2327.737556;1163.86877800018;265362.081384001
21;84589.6696259999;54481.482132;20788.986603;1433.723214;0;161293.861575
22;42083.0644500001;42083.0644500001;18235.994595;2524.983867;561.107526000691;105488.214888001
23;28039.900977;45348.481827;22847.326722;8308.118808;346.171617;104889.999951
24;73920.0916040001;71535.5725200001;7153.557252;2980.648855;596.129771000909;156186.000002001
25;199863.292166;171713.532706;35187.199325;4222.463919;-0.00000000168802216649055;410986.488115999
26;210244.724635;154558.284056;29547.907246;4545.831884;4545.83188399958;403442.579704999
27;201305.221704;190121.598276;57782.054378;1863.937238;-0.00000000145519152283669;451072.811595999
28;146941.5696;174493.1139;41327.31645;4591.92405;3061.28269999876;370415.206699999
29;100584.194172;93399.6088739997;26778.908838;3918.864708;1959.43235399964;226641.008945999
30;29391.8333309999;36389.8888859999;8397.666666;1399.611111;466.537037000191;76045.5370310001
31;247328.49226;227382.64611;35902.52307;7978.33846;1994.584615;520586.584515
Total;2941190.784214;2586156.929235;637805.664839;109126.234705;55569.2204849979;6329848.833478
