População que Trabalha por Vínculo Empregatício do Primeiro Trabalho e por Zona de Residência - 2012;;;;;;;;;
Zona;Assalariado com carteira;Assalariado sem carteira;Funcionário público;Autônomo;Empregador;Profissional liberal;Dono de negócio familiar;Trabalhador familiar;Total da população que trabalha
1;163784.0593984;30279.4059392;9634.3564352;57806.1386112001;13075.1980192;9634.3564352;8946.1881184;0;293159.702956799
2;180866.7139305;18550.432198;12057.7809287;68636.5991326001;1855.0432198;3710.0864396;6492.6512693;3710.0864396;295879.393558099
3;205085.416735001;23009.583341;19007.916673;78032.5000259999;6002.500002;4001.666668;13005.416671;3001.250001;351146.250117
4;254505.97308;42614.953632;26042.471664;118374.8712;2367.497424;4734.994848;16572.481968;5918.74356;471131.987375995
5;58228.8920999999;9898.911657;7278.6115125;22418.1234585;7860.9004335;4949.4558285;2620.3001445;873.4333815;114128.628516
6;151568.5921848;26292.5108892;8506.4005818;52585.0217783999;3866.545719;3866.545719;5413.1640066;0;252098.780878799
7;88651.7910035997;13432.089546;13879.8258642;48803.2586837999;2238.681591;4477.363182;9850.1990004;895.4726364;182228.681507401
8;94475.8158126998;13061.172693;12190.4278468;40054.2629252001;2176.8621155;435.3724231;2176.8621155;435.3724231;165006.148354899
9;132319.9383429;13186.5230651;11822.3999894;51381.9691847001;1364.1230757;5911.1999947;9094.153838;1364.1230757;226444.430566199
10;174828.62176;32780.36658;18575.541062;75394.843134;2185.357772;1092.678886;12019.467746;0;316876.876940001
11;118258.4814153;10548.8786239;9438.4703477;46081.9434623001;1665.6124143;555.2041381;4996.8372429;555.2041381;192100.631782601
12;113678.9708859;16826.1292647;8618.2613307;53351.1415709999;410.3933967;410.3933967;6976.6877439;820.7867934;201092.764383001
13;145691.7015744;29677.9392096;8093.9834208;55308.8867088001;0;0;3372.493092;674.4986184;242819.502623998
14;41324.8234385999;3999.1764618;7553.9999834;17107.5881977;5332.2352824;13108.4117359;3110.4705814;0;91536.7056812006
15;64220.3665686002;10054.7038567;4540.8339998;28218.0398559;12000.7755709;17514.6454278;7135.5962854;324.3452857;144009.306850799
16;70693.7204167998;10231.9858498;12092.3469134;37672.3115378999;5581.0831908;4185.8123931;3720.7221272;0;144177.982429
17;125139.6027899;24638.8855234;10374.2675888;42145.4620795;6483.917243;5187.1337944;7780.7006916;1296.7834486;223046.753159199
18;274039.109719999;32057.405288;14477.537872;93069.8863199998;5170.54924;4136.439392;5170.54924;0;428121.477071997
19;210607.4530778;17705.9363207;8387.0224677;103439.9437683;0;931.8913853;3727.5655412;931.8913853;345731.703946302
20;218815.970720999;33480.039236;19131.450992;115984.421639;1195.715687;1195.715687;22718.598053;3587.147061;416109.059076001
21;165493.5652512;17622.0000036;6895.5652188;62826.2608824;766.1739132;3830.869566;3064.6956528;0;260499.130488001
22;94142.7904319997;11473.6525839;11179.4563638;43541.0405747999;2059.3735407;4118.7470814;3824.5508613;588.3924402;170928.003878101
23;75810.8165768001;9655.15116780001;5363.972871;35044.6227572;4648.7764882;10370.3475506;6079.1692538;357.5981914;147330.4548568
24;163832.99647;19533.9341945;20164.061104;40328.122208;0;1260.253819;5041.015276;0;250160.383071498
25;381016.999734999;56074.199961;33069.399977;156720.199891;8626.799994;0;10064.599993;1437.799999;647009.999550001
26;342563.413365;60098.84445;37261.283559;157458.972459;1201.976889;4807.907556;7211.861334;0;610604.259612
27;369453.220682002;54808.994277;56838.957028;148187.280823;6089.888253;10149.813755;22329.590261;0;667857.745078999
28;347015.216239999;47320.25676;12618.735136;107259.248656;7886.70946;3154.683784;14196.077028;0;539450.927064
29;209451.553830001;39097.6233815999;29323.2175362;92158.6836851998;5585.3747688;1396.3436922;8378.0621532;698.1718461;386089.030893304
30;75183.1876166;9806.5027326;6537.6684884;33155.3187626;2334.881603;0;2801.8579236;0;129819.417126801
31;448812.594610001;62917.65345;48236.867645;209725.5115;2097.255115;8389.02046;23069.806265;2097.255115;805345.964159995
Total;5559562.36976484;800735.842137101;509193.0924011;2292272.47547398;122130.2014217;137517.3550386;260962.391478;29568.3558395;9711942.08355502
