1;Água Rasa
2;Alto de Pinheiros
3;Anhanguera
4;Aricanduva
5;Artur Alvim
6;Barra Funda
7;Bela Vista
8;Belém
9;Bom Retiro
10;Brás
11;Brasilândia
12;Butantã
13;Cachoeirinha
14;Cambuci
15;Campo Belo
16;Campo Grande
17;Campo Limpo
18;Cangaíba
19;Capão Redondo
20;Carrão
21;Casa Verde
22;Cidade Ademar
23;Cidade Dutra
24;Cidade Líder
25;Cidade Tiradentes
26;Consolação
27;Cursino
28;Ermelino Matarazzo
29;Freguesia do Ó
30;Grajaú
31;Guaianases
32;Iguatemi
33;Ipiranga
34;Itaim Bibi
35;Itaim Paulista
36;Itaquera
37;Jabaquara
38;Jaçanã
39;Jaguara
40;Jaguaré
41;Jaraguá
42;Jardim Ângela
43;Jardim Helena
44;Jardim Paulista
45;Jardim São Luís
46;José Bonifácio
47;Lajeado
48;Lapa
49;Liberdade
50;Limão
51;Mandaqui
52;Marsilac
53;Moema
54;Moóca
55;Morumbi
56;Parelheiros
57;Pari
58;Parque do Carmo
59;Pedreira
60;Penha
61;Perdizes
62;Perus
63;Pinheiros
64;Pirituba
65;Ponte Rasa
66;Raposo Tavares
67;República
68;Rio Pequeno
69;Sacomã
70;Santa Cecília
71;Santana
72;Santo Amaro
73;São Domingos
74;São Lucas
75;São Mateus
76;São Miguel Paulista
77;São Rafael
78;Sapopemba
79;Saúde
80;Sé
81;Socorro
82;Tatuapé
83;Tremembé
84;Tucuruvi
85;Vila Andrade
86;Vila Curuçá
87;Vila Formosa
88;Vila Guilherme
89;Vila Jacuí
90;Vila Leopoldina
91;Vila Maria
92;Vila Mariana
93;Vila Matilde
94;Vila Medeiros
95;Vila Prudente
96;Vila Sônia
97;Caieiras
98;Cajamar
99;Francisco Morato
100;Franco da Rocha
101;Mairiporã
102;Arujá
103;Guarulhos
104;Santa Isabel
105;Biritiba-Mirim
106;Ferraz de Vasconcelos
107;Guararema
108;Itaquaquecetuba
109;Mogi das Cruzes
110;Poá
111;Salesópolis
112;Suzano
113;Mauá
114;Ribeirão Pires
115;Rio Grande da Serra
116;Santo André
117;São Caetano do Sul
118;Diadema
119;São Bernardo do Campo
120;Embu das Artes
121;Embu-Guaçu
122;Itapecerica da Serra
123;Juquitiba
124;São Lourenço da Serra
125;Taboão da Serra
126;Cotia
127;Vargem Grande Paulista
128;Barueri
129;Carapicuíba
130;Itapevi
131;Jandira
132;Osasco
133;Pirapora do Bom Jesus
134;Santana de Parnaíba
